stimulus,left_image,right_image,condition,target_side,correct_response,background
Intro,ocean-right,ocean-left,Filler,R,0,white-background
Circle_Find_Prime,triangle-red,circle-yellow,Prime-Shape-,R,0,white-background
Star_Where_Prime,star-blue,circle-green,Prime-Shape-Same,L,1,white-background
Red_Where_Prime,circle-blue,heart-red,Prime-Color-Switch,R,0,white-background
Triangle_Find_Prime,triangle-blue,heart-red,Prime-Shape-Switch,L,1,white-background
Green_Where_Prime,star-green,heart-yellow,Prime-Color-Switch,L,1,white-background
Red_Find_Prime,star-blue,triangle-red,Prime-Color-Same,R,0,white-background
Green_Find_Prime,triangle-green,circle-yellow,Prime-Color-Same,L,1,white-background
Heart_Where_Prime,heart-blue,star-yellow,Prime-Shape-Switch,L,1,white-background
Yellow_Find_Prime,triangle-blue,star-yellow,Prime-Color-Switch,R,0,white-background
Blue_Where_Prime,star-red,circle-blue,Prime-Color-Same,R,0,white-background
Heart_Find_Prime,triangle-red,heart-green,Prime-Shape-Switch,R,0,white-background
Circle_Where_Prime,circle-red,heart-yellow,Prime-Shape-Same,L,1,white-background
Blue_Where_Neutral,triangle-yellow,heart-blue,Neutral-Color-,R,0,white-background
Red_Find_Neutral,star-red,triangle-green,Neutral-Color-Same,L,1,white-background
Heart_Find_Neutral,heart-green,star-blue,Neutral-Shape-Switch,L,1,white-background
Blue_Where_Neutral,circle-green,triangle-blue,Neutral-Color-Switch,R,0,white-background
Yellow_Find_Neutral,heart-yellow,circle-blue,Neutral-Color-Same,L,1,white-background
Triangle_Where_Neutral,triangle-yellow,star-green,Neutral-Shape-Switch,L,1,white-background
Circle_Where_Neutral,circle-red,triangle-yellow,Neutral-Shape-Same,L,1,white-background
Star_Find_Neutral,heart-green,star-red,Neutral-Shape-Same,R,0,white-background
Yellow_Find_Neutral,circle-yellow,star-green,Neutral-Color-Switch,L,1,white-background
Triangle_Where_Neutral,heart-red,triangle-green,Neutral-Shape-Switch,R,0,white-background
Star_Find_Neutral,circle-red,star-yellow,Neutral-Shape-Same,R,0,white-background
Green_Where_Neutral,heart-blue,circle-green,Neutral-Color-Switch,R,0,white-background
End,fireworks-right,fireworks-left,Filler,R,0,white-background